"DAMAGE:0","DAMAGE:1","DAMAGE:2","sigma:0","sigma:1","sigma:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0011853,0.00047298,0,388.62,961.89,15.163,1,0.12579,0.5,0.12663,0
0.0011854,0.00047641,0,389.01,963.79,16.795,1,0.12679,0.5,0.12763,0
0.0011855,0.00047984,0,389.39,965.64,18.388,1,0.12778,0.5,0.12863,0
0.0011856,0.00048329,0,389.39,965.64,18.388,1,0.12878,0.5,0.12962,0
0.0011857,0.00048674,0,388.76,963.96,18.458,1,0.12978,0.5,0.13062,0
0.0011859,0.00049015,0,385.13,954.28,18.862,1,0.13078,0.5,0.13162,0
0.001186,0.00049356,0,381.5,944.6,19.266,1,0.13178,0.5,0.13262,0
0.0011861,0.00049695,0,380.75,942.04,19.214,1,0.13278,0.5,0.13362,0
0.0011862,0.00050033,0,382.75,944.49,18.27,1,0.13377,0.5,0.13462,0
0.0011864,0.00050371,0,384.75,946.93,17.326,1,0.13477,0.5,0.13561,0
0.0011865,0.0005071,0,386.75,949.38,16.382,1,0.13577,0.5,0.13661,0
0.0011866,0.00051048,0,388.49,951.5,15.561,1,0.13677,0.5,0.13761,0
0.0011868,0.00051384,0,385,941.9,15.679,1,0.13777,0.5,0.13861,0
0.0011869,0.00051718,0,380.78,930.3,15.822,1,0.13877,0.5,0.13961,0
0.0011871,0.00052051,0,378.33,923.56,15.905,1,0.13976,0.5,0.14061,0
0.0011872,0.00052381,0,378.49,924.4,16.529,1,0.14076,0.5,0.1416,0
0.0011874,0.00052714,0,379.06,927.42,18.784,1,0.14176,0.5,0.1426,0
0.0011875,0.00053047,0,379.62,930.45,21.039,1,0.14276,0.5,0.1436,0
0.0011877,0.0005338,0,378.47,928.52,22.168,1,0.14376,0.5,0.1446,0
0.0011878,0.00053711,0,375.32,921.49,22.565,1,0.14476,0.5,0.1456,0
0.001188,0.0005404,0,374.16,921.05,25.008,1,0.14575,0.5,0.1466,0
0.0011882,0.00054368,0,373.01,920.6,27.45,1,0.14675,0.5,0.14759,0
0.0011883,0.00054697,0,372.47,920.62,28.54,1,0.14775,0.5,0.14859,0
0.0011885,0.00055026,0,372.47,920.62,28.54,1,0.14875,0.5,0.14959,0
0.0011886,0.00055355,0,372.47,920.62,28.54,1,0.14975,0.5,0.15059,0
0.0011888,0.00055684,0,372.47,920.62,28.54,1,0.15075,0.5,0.15159,0
0.001189,0.00056012,0,373.26,919.69,29.473,1,0.15174,0.5,0.15259,0
0.0011892,0.00056341,0,374.1,918.68,30.475,1,0.15274,0.5,0.15358,0
0.0011893,0.00056668,0,373.99,916.5,31.236,1,0.15374,0.5,0.15458,0
0.0011895,0.00056992,0,371.24,909.29,32.013,1,0.15474,0.5,0.15558,0
0.0011897,0.00057316,0,368.5,902.09,32.79,1,0.15574,0.5,0.15658,0
0.0011899,0.00057638,0,367.65,899.87,33.03,1,0.15674,0.5,0.15758,0
0.0011901,0.00057959,0,367.65,899.87,33.03,1,0.15773,0.5,0.15858,0
0.0011903,0.0005828,0,367.65,899.87,33.03,1,0.15873,0.5,0.15957,0
0.0011905,0.000586,0,367.62,898.08,33.499,1,0.15973,0.5,0.16057,0
0.0011907,0.0005892,0,367.6,896.23,33.985,1,0.16073,0.5,0.16157,0
0.0011909,0.00059239,0,367.57,894.37,34.47,1,0.16173,0.5,0.16257,0
0.0011911,0.00059558,0,367.07,892.88,34.797,1,0.16273,0.5,0.16357,0
0.0011913,0.00059872,0,364.22,885.93,36.238,1,0.16372,0.5,0.16457,0
0.0011916,0.00060186,0,361.37,878.99,37.679,1,0.16472,0.5,0.16556,0
0.0011918,0.00060501,0,358.52,872.05,39.12,1,0.16572,0.5,0.16656,0
0.001192,0.00060813,0,357.28,869.02,39.749,1,0.16672,0.5,0.16756,0
0.0011922,0.00061122,0,357.28,869.02,39.749,1,0.16772,0.5,0.16856,0
0.0011924,0.00061432,0,357.28,869.02,39.749,1,0.16872,0.5,0.16956,0
0.0011926,0.00061742,0,357.58,869.67,39.862,1,0.16971,0.5,0.17056,0
0.0011928,0.00062055,0,360.28,875.48,40.881,1,0.17071,0.5,0.17155,0
0.0011931,0.00062367,0,362.98,881.29,41.9,1,0.17171,0.5,0.17255,0
0.0011933,0.00062683,0,364.3,881.59,40.761,1,0.17271,0.5,0.17355,0
0.0011935,0.00062986,0,362.87,878.78,42.657,1,0.17371,0.5,0.17455,0
0.0011938,0.00063292,0,350.09,854.21,47.608,1,0.17471,0.5,0.17555,0
0.001194,0.00063597,0,345.2,843.99,48.932,1,0.1757,0.5,0.17654,0
0.0011943,0.000639,0,348.17,848.06,46.647,1,0.1767,0.5,0.17754,0
0.0011946,0.00064204,0,351.13,852.13,44.362,1,0.1777,0.5,0.17854,0
0.0011948,0.00064508,0,354.1,856.2,42.076,1,0.1787,0.5,0.17954,0
0.0011951,0.00064811,0,357.07,860.27,39.791,1,0.1797,0.5,0.18054,0
0.0011953,0.00065115,0,360.03,864.33,37.506,1,0.1807,0.5,0.18154,0
0.0011956,0.00065416,0,355.18,853.85,38.741,1,0.18169,0.5,0.18253,0
0.0011959,0.00065713,0,347.58,837.51,40.713,1,0.18269,0.5,0.18353,0
0.0011961,0.00066011,0,339.98,821.17,42.685,1,0.18369,0.5,0.18453,0
0.0011964,0.00066307,0,336.01,813.58,44.589,1,0.18469,0.5,0.18553,0
0.0011967,0.00066603,0,337.1,818.95,47.11,1,0.18569,0.5,0.18653,0
0.001197,0.00066898,0,338.2,824.33,49.63,1,0.18669,0.5,0.18753,0
0.0011973,0.00067194,0,339.29,829.7,52.15,1,0.18768,0.5,0.18852,0
0.0011976,0.00067489,0,340.38,835.08,54.67,1,0.18868,0.5,0.18952,0
0.0011979,0.00067784,0,341.47,840.45,57.191,1,0.18968,0.5,0.19052,0
0.0011981,0.00068081,0,341.58,842.71,59.105,1,0.19068,0.5,0.19152,0
0.0011984,0.00068376,0,335.63,829.32,60.772,1,0.19168,0.5,0.19252,0
0.0011987,0.0006867,0,330.01,816.65,62.442,1,0.19268,0.5,0.19352,0
0.0011991,0.00068964,0,324.39,803.99,64.113,1,0.19367,0.5,0.19451,0
0.0011994,0.00069251,0,322.87,800.45,65.039,1,0.19467,0.5,0.19551,0
0.0011997,0.00069537,0,321.51,797.31,65.933,1,0.19567,0.5,0.19651,0
0.0012,0.00069823,0,320.52,794.99,66.593,1,0.19667,0.5,0.19751,0
0.0012004,0.00070108,0,320.52,794.99,66.593,1,0.19767,0.5,0.19851,0
0.0012007,0.00070392,0,320.52,794.99,66.593,1,0.19867,0.5,0.19951,0
0.001201,0.00070677,0,320.52,794.99,66.593,1,0.19966,0.5,0.2005,0
0.0012013,0.00070963,0,321.94,798.03,66.995,1,0.20066,0.5,0.2015,0
0.0012017,0.00071249,0,324.05,802.56,67.594,1,0.20166,0.5,0.2025,0
0.001202,0.00071536,0,326.11,805.2,66.776,1,0.20266,0.5,0.2035,0
0.0012024,0.00071818,0,321.08,796.51,70.058,1,0.20366,0.5,0.2045,0
0.0012027,0.00072099,0,311.88,780.35,74.816,1,0.20466,0.5,0.2055,0
0.0012031,0.00072379,0,307.9,772.83,76.473,1,0.20565,0.5,0.20649,0
0.0012034,0.00072656,0,307.9,772.83,76.473,1,0.20665,0.5,0.20749,0
0.0012038,0.00072934,0,307.9,772.83,76.473,1,0.20765,0.5,0.20849,0
0.0012041,0.00073211,0,307.9,772.83,76.473,1,0.20865,0.5,0.20949,0
0.0012045,0.00073489,0,307.76,773.03,76.607,1,0.20965,0.5,0.21049,0
0.0012049,0.00073765,0,303.81,768.03,78.493,1,0.21065,0.5,0.21149,0
0.0012052,0.00074042,0,299.86,763.04,80.378,1,0.21164,0.5,0.21248,0
0.0012056,0.00074318,0,295.92,758.04,82.264,1,0.21264,0.5,0.21348,0
0.001206,0.00074594,0,292.16,753.11,84.03,1,0.21364,0.5,0.21448,0
0.0012064,0.00074865,0,292.16,753.11,84.03,1,0.21464,0.5,0.21548,0
0.0012068,0.00075137,0,292.16,753.11,84.03,1,0.21564,0.5,0.21648,0
0.0012072,0.00075409,0,292.16,753.11,84.03,1,0.21664,0.5,0.21748,0
0.0012076,0.0007568,0,292.05,751.02,82.911,1,0.21763,0.5,0.21847,0
0.0012079,0.00075954,0,292.81,747.26,79.484,1,0.21863,0.5,0.21947,0
0.0012083,0.0007622,0,290.88,744.77,81.385,1,0.21963,0.5,0.22047,0
0.0012087,0.00076487,0,290.97,745.11,82.08,1,0.22063,0.5,0.22147,0
0.0012091,0.00076756,0,292.27,746.43,81.539,1,0.22163,0.5,0.22247,0
0.0012095,0.00077024,0,293.47,747.65,81.044,1,0.22262,0.5,0.22347,0
